stop_id,stop_name,stop_lat,stop_lon
1,COLABA BUS STN.,18.9118892648,72.8230460117
2,SASOON DOCK,18.91587,72.82619
3,STRAND CINEMA,18.9173370318,72.8273949847
4,COLABA DEPOT,18.92086,72.83053
5,DR.SHAMAPRASAD MUKHERJI CHK.,18.9256313577,72.8318061063
6,HUTATMA CHK./MUMBAI UNIVERSITY,18.9280061692,72.8313447664
7,HUTATMA CHK.,18.94381,72.83924
8,KHADI BHANDAR,18.9364462942,72.8338694154
9,CHH. SHIVAJI TERMINUS,18.9409747781,72.8345966953
10,MAHATMA PHULE MARKET,18.9451049251,72.8340495246
11,CHAKALA MARKET,18.9488290732,72.8349614757
12,ZAKERIA MASJID,18.95213,72.83402
3155,J.V.P.D.BUS STN.,19.1161660815,72.8295172708
14,JOHAR CHK.,18.95962,72.83155
15,DR.M.IQBAL CHK.,18.96319,72.83201
3159,A.H.ANSARI CHK.,18.972684893,72.8330645987
18,BYCULLA STN(E),18.9766620689,72.8333435484
19,JIJAMATA UDN.,18.98102,72.8346
20,JAIHIND CINEMA,18.9855509964,72.8356015161
22,SANT JAGNADE CHK.,18.9910708053,72.8356901624
23,BHARATMATA CINEMA,18.9966634532,72.8366944146
24,PAREL WORKSHOP,19.0013298657,72.8378102136
25,MADKEBUWA CHK.,19.0053063574,72.8396126581
26,HINDMATA CINEMA,19.0083495266,72.8413721872
28,CHITRA CINEMA,19.0136151515,72.844661453
29,KHODADAD CIRCLE,19.0178662902,72.8477425792
30,VEER KOTWAL UDN. (PLAZA),19.02095,72.84218
31,RAM GANESH GADKARI CHK.,19.0251271702,72.8404614906
3147,MAHATMA PHULE MARKET,18.9464951482,72.8352296966
33,SHITALADEVI TEMPLE,19.0347321062,72.8423390369
37,R.C.CHURCH,18.90023,72.81373
39,PILOT BUNDER,18.9047,72.81579
40,AFGHAN CHURCH,18.9062909571,72.8165447284
41,COLABA BUS STN.,18.912522949,72.8224455882
42,KHADI BHANDAR,18.9356910915,72.8334011266
43,JIJAMATA UDN.,18.9784882913,72.8337727019
44,MAHIM,19.04012,72.84161
3199,BORIVLI STN(E),19.2287548328,72.8574637042
46,AKSHAYA,19.0520944249,72.8323961412
3149,Y.B.CHAVAN PRATISHTHAN/MANTRALAYA,18.9261937934,72.8263918148
